ID1	ID2	issue_type
hmdb:HMDB0035973	chemspider:80200	improper_match
hmdb:HMDB0035979	pubchem:6424827	improper_match
hmdb:HMDB0035979	chemspider:4930317	improper_match
hmdb:HMDB0036036	pubchem:106766	improper_match
hmdb:HMDB0036036	chemspider:96095	improper_match
hmdb:HMDB0036038	pubchem:131751453	improper_match
hmdb:HMDB0036038	chemspider:30777019	improper_match
hmdb:HMDB0036043	pubchem:131752139	improper_match
hmdb:HMDB0036064	pubchem:5283544	improper_match
hmdb:HMDB0036064	chebi:52971	improper_match
hmdb:HMDB0036064	kegg:C17568	improper_match
hmdb:HMDB0036064	chemspider:4446657	improper_match
hmdb:HMDB0036157	chebi:2082	improper_match
hmdb:HMDB0036157	kegg:C02951	improper_match
hmdb:HMDB0036158	pubchem:5352437	improper_match
hmdb:HMDB0036158	chebi:49239	improper_match
hmdb:HMDB0036158	kegg:C19748	improper_match
hmdb:HMDB0036158	chemspider:4509327	improper_match
hmdb:HMDB0036286	pubchem:73829943	improper_match
hmdb:HMDB0036291	pubchem:13851701	improper_match
hmdb:HMDB0036339	pubchem:45269778	improper_match
hmdb:HMDB0036339	chemspider:24618221	improper_match
hmdb:HMDB0036349	pubchem:525329	improper_match
hmdb:HMDB0036349	chemspider:457991	improper_match
hmdb:HMDB0036484	pubchem:15624187	improper_match
hmdb:HMDB0036525	pubchem:97747	improper_match
hmdb:HMDB0036525	chemspider:88223	improper_match
hmdb:HMDB0036665	pubchem:85116077	improper_match
hmdb:HMDB0036692	pubchem:92337821	improper_match
hmdb:HMDB0036692	chemspider:30776937	improper_match
hmdb:HMDB0036699	kegg:C05720	improper_match
hmdb:HMDB0036705	pubchem:54275943	improper_match
hmdb:HMDB0036732	pubchem:12069327	improper_match
hmdb:HMDB0036737	pubchem:78172989	improper_match
hmdb:HMDB0036748	pubchem:353479	improper_match
hmdb:HMDB0036825	pubchem:85584195	improper_match
hmdb:HMDB0036851	pubchem:101750	improper_match
hmdb:HMDB0036851	chemspider:91936	improper_match
hmdb:HMDB0036889	pubchem:131751219	improper_match
hmdb:HMDB0037070	chemspider:28715639	improper_match
hmdb:HMDB0037126	pubchem:20831779	improper_match
hmdb:HMDB0037126	chemspider:20127044	improper_match
hmdb:HMDB0037209	pubchem:6036	improper_match
hmdb:HMDB0037209	chebi:4139	improper_match
hmdb:HMDB0037209	kegg:C00124	improper_match
hmdb:HMDB0037371	pubchem:12315274	improper_match
hmdb:HMDB0037371	chemspider:24224328	improper_match
hmdb:HMDB0037383	pubchem:92649	improper_match
hmdb:HMDB0037383	chemspider:83635	improper_match
hmdb:HMDB0037467	kegg:C17441	improper_match
hmdb:HMDB0037611	pubchem:85288059	improper_match
hmdb:HMDB0037657	pubchem:131751663	improper_match
hmdb:HMDB0037671	pubchem:61159	improper_match
hmdb:HMDB0037750	pubchem:101755293	improper_match
hmdb:HMDB0037776	pubchem:536987	improper_match
hmdb:HMDB0037826	pubchem:62876	improper_match
hmdb:HMDB0037826	chemspider:56606	improper_match
hmdb:HMDB0037893	pubchem:131750880	improper_match
hmdb:HMDB0038020	pubchem:62007	improper_match
hmdb:HMDB0038020	chemspider:55854	improper_match
hmdb:HMDB0038095	pubchem:443651	improper_match
hmdb:HMDB0038095	chebi:31985	improper_match
hmdb:HMDB0038095	kegg:C12139	improper_match
hmdb:HMDB0038095	chemspider:391784	improper_match
hmdb:HMDB0038098	pubchem:12312707	improper_match
hmdb:HMDB0038284	pubchem:102684	improper_match
hmdb:HMDB0038284	chemspider:92751	improper_match
hmdb:HMDB0038331	chebi:17069	improper_match
hmdb:HMDB0038331	kegg:C03351	improper_match
hmdb:HMDB0038343	pubchem:85363137	improper_match
hmdb:HMDB0038560	pubchem:61184	improper_match
hmdb:HMDB0038560	chemspider:55130	improper_match
hmdb:HMDB0038562	pubchem:167736	improper_match
hmdb:HMDB0038562	chemspider:146730	improper_match
hmdb:HMDB0038595	pubchem:4486820	improper_match
hmdb:HMDB0038595	chemspider:3684607	improper_match
hmdb:HMDB0038672	pubchem:131751594	improper_match
hmdb:HMDB0038707	pubchem:10364	improper_match
hmdb:HMDB0038707	chebi:3440	improper_match
hmdb:HMDB0038707	kegg:C09840	improper_match
hmdb:HMDB0038707	chemspider:21105867	improper_match
hmdb:HMDB0038854	kegg:C07560	improper_match
hmdb:HMDB0038883	pubchem:131752485	improper_match
hmdb:HMDB0039035	pubchem:131752071	improper_match
hmdb:HMDB0039035	kegg:C08594	improper_match
hmdb:HMDB0039122	chebi:17371	improper_match
hmdb:HMDB0039122	kegg:C00744	improper_match
hmdb:HMDB0039208	pubchem:11425230	improper_match
hmdb:HMDB0039208	chemspider:9600106	improper_match
hmdb:HMDB0039269	pubchem:14057209	improper_match
hmdb:HMDB0039288	pubchem:21629801	improper_match
hmdb:HMDB0039288	chemspider:10258687	improper_match
